year,city,growth,workers,company,state_s,revenue,industry,yrsonlist
2018,Chicago,546.5417,21,Thank God It's Natural,IL,2604354,Manufacturing,1
2018,Missoula,573.0785,20,VIM & VIGR,MT,2602579,Manufacturing,1
2018,Atlanta,303.5933,20,stable|kernel,GA,2602511,Software,2
2018,Lancaster,62.3531,18,Seisan,PA,2599260,Software,1
2018,Fresno,835.6356,35,Aplos Software,CA,2597549,Software,1
2018,Lancaster,910.473,7,Ingrain Construction,PA,2597158,Construction,1
2018,Jacksonville,72.9651,19,Harvest Software Solutions,FL,2595230,IT Services,1
2018,Altamonte Springs,518.8482,25,Inteletech Global,FL,2593698,IT Services,1
2018,Chelsea,58.5538,15,Koncerted,MA,2589966,Consumer Products & Services,1
2018,San Diego,1293.6983,8,William Painter,CA,2588725,Retail,1
2018,Aberdeen,316.6605,27,My Place Hotels of America,SD,2584537,Travel & Hospitality,1
2018,Lubbock,2483.638,34,Primitive Social,TX,2583638,Advertising & Marketing,1
2018,Parsippany,652.0147,6,Bahdos,NJ,2583321,Retail,1
2018,Houston,264.9047,17,Encore Search Partners,TX,2580088,Business Products & Services,1
2018,Groton,136.3226,50,i2e Consulting,CT,2578970,Software,1
2018,Boston,2175.1804,14,2020 On-site,MA,2578462,Health,1
2018,Edmond,111.9384,18,Crowne Kitchen and Bath,OK,2575168,Construction,2
2018,Orange,63.5553,23,A-Tech Consulting,CA,2574862,Environmental Services,1
2018,Kent,92.2093,6,Driven Products,WA,2569290,Retail,1
2018,San Diego,176.1567,11,ecUtopia,CA,2569108,Software,1
2018,Kennesaw,168.6117,10,Eagle Business Credit,GA,2568371,Financial Services,1
2018,Los Angeles,254.2818,16,Doron Ofir Casting / Popular Productions,CA,2565000,Media,1
2018,Amherst,88.0247,22,Microtime Computers,NH,2561336,IT Services,1
2018,Atlanta,849.9815,20,Jay Morrison Academy,GA,2560884,Education,1
2018,Denver,147.9498,24,TRELORA,CO,2557245,Real Estate,1
2018,Cambridge,158.9666,40,The Senne Company,MA,2556000,Real Estate,1
2018,Yardley,204.8067,9,Exact Solar,PA,2552244,Energy,2
2018,Austin,239.5884,26,Patriot Pool and Spa,TX,2549759,Consumer Products & Services,1
2018,Lilburn,75.7416,22,The Kotter Group,GA,2546452,Telecommunications,1
