 url, rank, city, company, country, growth, revenue, industry, yrs_on_list,Year
https://www.inc.com/profile/bbp-bandenia-plc,184,London,BBP Bandenia PLC,United Kingdom,1860.4777,149670378,Business Products & Services,1,2018
https://www.inc.com/profile/european-energy-world-sl,185,Valencia,European Energy World SL,Spain,1855.4166,20557686,Energy,1,2018
https://www.inc.com/profile/assorti-vest,186,Rostov-Na-Donu,Assorti-Vest,Russian Federation,1840.4039,26694253,Retail,1,2018
https://www.inc.com/profile/interaction-haute-normandie,187,Rennes,Interaction Haute Normandie,France,1838.1099,4534305,Human Resources,1,2018
https://www.inc.com/profile/risorgimento-srl,188,Torino,Risorgimento S.R.L.,Italy,1837.3992,4758543,Travel & Hospitality,1,2018
https://www.inc.com/profile/valdres-diesel-as,189,Fagernes,Valdres Diesel AS,Norway,1827.9532,8006192,Logistics & Transportation,1,2018
https://www.inc.com/profile/nastran-prevozi-storitve-trgovina,190,Sencur,NASTRAN prevozi storitve trgovina,Slovenia,1821.6418,5687195,Business Products & Services,1,2018
https://www.inc.com/profile/aterno-gas-power-societa-a-responsabilita-limitata,191,L'Aquila,Aterno GAS & Power Societa' A Responsabilita' Limitata,Italy,1811.9341,8692035,Energy,1,2018
https://www.inc.com/profile/limited-liability-partnership-voerman-international-moscow,192,Moscow,Limited Liability Partnership Voerman International Moscow,Russian Federation,1807.5674,44554994,Logistics & Transportation,1,2018
https://www.inc.com/profile/gonvarri-ms-corporate-sociedad-limitada,193,Bilbao,Gonvarri MS Corporate Sociedad Limitada.,Spain,1807.2182,34349000,Business Products & Services,1,2018
https://www.inc.com/profile/albacor-siberia,194,Omsk,Albacor Siberia,Russian Federation,1804.1491,4392834,Logistics & Transportation,1,2018
https://www.inc.com/profile/unielectrica-energia-sa,195,Cordoba,Unielectrica Energia SA,Spain,1802.2686,86544549,Energy,1,2018
https://www.inc.com/profile/gjesdal-caravanservice-as,196,Kleppe,Gjesdal Caravanservice AS,Norway,1801.5284,4528775,Retail,1,2018
https://www.inc.com/profile/roph-entreprenad-ab,197,Hudiksvall,Roph Entreprenad AB,Sweden,1768.9803,7822692,Construction,1,2018
https://www.inc.com/profile/1946-shop-slu,198,El Campello,1946 Shop SLU,Spain,1767.3235,5760170,Retail,1,2018
https://www.inc.com/profile/terranova-papers-sa,199,Barcelona,Terranova Papers SA,Spain,1764.8909,23983000,Consumer Products & Services,1,2018
https://www.inc.com/profile/dulcis-gourmet-gostinstvo-in-trgovina,200,Ljubljana,DULCIS GOURMET gostinstvo in trgovina,Slovenia,1764.4085,4949818,Travel & Hospitality,1,2018
https://www.inc.com/profile/tek-pack,201,Moscow,Tek-Pack,Russian Federation,1764.0655,12733450,Manufacturing,1,2018
