year,city,growth,workers,company,state_s,revenue,industry,yrsonlist
2012,Pittsburg,10.6305,1762,K&L Gates,PA,1061500000,Business Products & Services,1
2014,Cherry Hill,160.8724,199,AmeriQuest Business Services,NJ,1052691617,Business Products & Services,7
2018,Oak Brook,83.4094,1162,Readerlink,IL,1051402000,Consumer Products & Services,1
2011,New York,17.4497,1127,Cleary Gottlieb,NY,1050000000,Business Products & Services,3
2014,Boulder,331.9412,1375,Zayo Group,CO,1049263000,Telecommunications,1
2014,Chicago,219.2982,1257,Coyote Logistics,IL,1047132000,Logistics & Transportation,8
2016,Phoenix,111.9185,413,Avella Specialty Pharmacy,AZ,1046821162,Health,11
2012,Cincinnati,82.6207,1643,Total Quality Logistics,OH,1046733502,Logistics & Transportation,11
2017,Irvine,68.0455,7939,Pacific Dental Services,CA,1046584000,Health,12
2010,Peachtree City,38.6208,2130,Global Aviation Holdings,GA,1042585000,Logistics & Transportation,1
2014,Downers Grove,104.7952,7500,Hearthside Food Solutions,IL,1041888929,Food & Beverage,2
2018,Caledonia,427.8593,4623,Acrisure,MI,1039891000,Insurance,1
2015,Fort Collins,187.6503,990,Otter Products,CO,1035006000,Consumer Products & Services,8
2011,Tempe,15.8914,1360,Sundt Construction,AZ,1034610000,Construction,3
2012,Auburn,49.7972,952,Zones,WA,1034376491,Computer Hardware,1
2013,Sterling Heights,77.9585,8500,Key Safety Systems,MI,1033759000,Manufacturing,5
2007,Tempe,40.5201,2758,DriveTime,AZ,1030958000,Consumer Products & Services,4
2012,Atlanta,65.0328,400,AutoTrader.com,GA,1025177000,Consumer Products & Services,1
2015,HOUSTON,114.9869,161,G&A Partners,TX,1021090371,Human Resources,11
2016,Lake Mary,791.0651,900,Jeunesse Global,FL,1019683612,Consumer Products & Services,4
2015,McKinney,135.5392,1604,SRS Distribution,TX,1018579345,Consumer Products & Services,4
2016,Effingham,81.6102,8493,Heartland Dental,IL,1018413264,Business Products & Services,6
2014,Knoxville,107.5111,4329,Cellular Sales of Knoxville,TN,1013667345,Retail,9
2018,Atlanta,240.2862,5167,Epiq,GA,1007138000,Business Products & Services,11
2011,Cincinnati,75.9163,1060,Staffmark Holdings,OH,1002512000,Human Resources,1
2011,Naples,63.1787,1000,Arthrex,FL,996918032,Health,1
2017,Melville,69.3928,11792,Prestige Employee Administrators,NY,996719509,Human Resources,8
2010,New York,10.5556,700,Sullivan & Cromwell,NY,995000000,Business Products & Services,3
2010,national,22.9913,983,Gibson Dunn,NY,995000000,Business Products & Services,3
2010,Sparks,188.8657,1850,Sierra Nevada Corporation,NV,993701000,Manufacturing,2
2009,Portland,32.7756,150,M Financial Group,OR,990888079,Insurance,1
2015,Quincy,62.2647,1163,Granite Telecommunications,MA,989651000,Telecommunications,10
2014,San Mateo,1429.1279,718,GoPro,CA,985737000,Consumer Products & Services,1
2009,Vista,242.5252,4696,DJO,CA,980194000,Health,2
2009,Birmingham,17.1481,1511,Belfor Holdings,MI,976700000,Construction,1
2018,Manasquan,97.4898,19000,Jersey Mike's Subs,NJ,974782877,Food & Beverage,1
2011,Greensboro,33.7444,7300,The Fresh Market,NC,974213000,Food & Beverage,2
2017,New York City,44.5104,854,Cooley,NY,974000000,Business Products & Services,4
2014,Los Angeles,76.6576,899,Quinn Emanuel,CA,972500000,Business Products & Services,5
2016,Oakbrook,7754.3956,200,Midwest Equity Mortgage,IL,971148423,Financial Services,2
2015,Hastings,165.1371,180,Anytime Fitness,MN,966973061,Health,7
2010,New York,18.6962,992,Cleary Gottlieb,NY,965000000,Business Products & Services,3
2012,New York,6.5819,800,Simpson Thacher & Bartlett,NY,963500000,Business Products & Services,2
2013,Pleasanton,90.2941,725,Blackhawk Network Holdings,CA,959069000,Financial Services,1
2011,Pittsburgh,7.3991,1449,Reed Smith,PA,958000000,Business Products & Services,2
2015,Boston,44.4723,950,Shawmut Design and Construction,MA,957606000,Construction,6
2014,San Antonio,98.5878,239,Genesis-ATC,TX,951065127,Telecommunications,2
2010,Vista,176.4607,4500,DJO,CA,946126000,Health,2
2010,Pittsburgh,46.2733,1427,Reed Smith,PA,942000000,Business Products & Services,2
2010,Washington,4.9052,933,Wilmer Cutler Pickering Hale and Dorr,DC,941000000,Business Products & Services,1
2015,Santa Monica,124.8174,707,Beachbody,CA,938916000,Health,3
2012,Sterling Heights,10.7438,7777,Key Safety Systems,MI,938000000,Manufacturing,5
2009,Fargo,102.5655,1399,Border States Electric,ND,932814000,Business Products & Services,1
2014,Plano,190.8177,5000,Goodman Networks,TX,931745000,Telecommunications,7
2013,Dallas,187.5612,492,Ambit Energy,TX,930277233,Energy,6
2017,Gilbert,106.2404,675,Isagenix,AZ,924252000,Health,11
2014,Fort Collins,455.0489,800,Otter Products,CO,923607000,Consumer Products & Services,8
2016,Foothill Ranch,307.1024,5000,loanDepot,CA,922359827,Financial Services,3
2014,McLean,63.2867,257,immixGroup,VA,920251833,IT Services,7
2014,Atlanta,136.5545,11561,Insight Global,GA,918390882,IT Services,10
2015,WILTON,165.6132,300,BLUE BUFFALO PET PRODUCTS,CT,917760000,Consumer Products & Services,1
2008,Baton Rouge,341.6266,510,Edgen Murray,LA,917700000,Energy,3
2014,Boston,140.1361,1400,Wayfair.com,MA,915843000,Retail,2
2016,New York,47.812,801,Cooley,NY,912000000,Business Products & Services,4
2009,Birmingham,118.1704,797,Robins & Morton,AL,912000000,Construction,1
2013,Scottsdale,49.2547,3369,GoDaddy.com,AZ,910903000,IT Services,9
2012,New York,15.3359,769,Davis Polk,NY,910000000,Business Products & Services,3
